Permit Type,Initiating Office,Issue Datw,Valuation,# of Residential Units,Zone,Latitude,Longitude
Bldg-New,METRO,5/8/2014,225000,1,(T)(Q)R1-1,34.27609,-118.39244
Bldg-New,VAN NUYS,3/5/2015,772000,1,R1-1,34.14864,-118.4722
Bldg-New,VAN NUYS,4/14/2014,182000,1,[Q]RD1.5-1,34.17739,-118.4467
Bldg-Addition,METRO,3/15/2017,45000,1,R3-1-O,34.04129,-118.33065
Bldg-New,METRO,6/14/2017,60875,1,R1-1,34.13404,-118.21395
Bldg-New,WEST LA,4/18/2016,1640000,1,R1-1,34.03626,-118.52881
Bldg-New,VAN NUYS,6/11/2015,181600,1,(T)(Q)RD2-1,34.20871,-118.4634
Bldg-New,METRO,8/27/2015,190000,1,R3-1-O,34.05257,-118.35215
Bldg-New,WEST LA,5/7/2013,800000,1,R1-1,34.05098,-118.52413
Bldg-New,VAN NUYS,7/27/2016,440000,1,[T]RE-1,34.2915,-118.57879
Bldg-New,VAN NUYS,4/12/2019,620000,1,RE11-1,34.16823,-118.42393
Bldg-New,VAN NUYS,8/22/2014,207000,1,[Q]RD1.5-1,34.15781,-118.39341
Bldg-New,WEST LA,12/18/2013,405000,1,R1-1-RFA,34.25843,-118.29007
Bldg-Alter/Repair,METRO,2/1/2013,10000,1,R3-1-O-HPOZ,34.05314,-118.32266
Bldg-New,VAN NUYS,8/5/2016,320000,1,RE11-1,34.2446,-118.29228
Bldg-New,METRO,12/5/2016,185000,1,[Q]R3-1,34.15421,-118.36684
Bldg-New,METRO,11/18/2014,203520,1,RD3-1,34.08419,-118.17008
Bldg-New,METRO,4/15/2014,134000,1,[Q]CM-1VL,34.08883,-118.25964
Bldg-Addition,VAN NUYS,5/8/2017,8000,1,R1-1,34.18471,-118.37842
Bldg-New,METRO,8/8/2013,331252,1,R4(PV),33.97332,-118.41921
Bldg-New,VAN NUYS,3/6/2017,500000,1,R1-1,34.085,-118.35236
Bldg-Addition,SANPEDRO,4/12/2017,6000,1,R1-1XL,33.75461,-118.29816
Bldg-New,WEST LA,8/30/2018,813000,1,RE15-1,34.09895,-118.40498
Bldg-New,VAN NUYS,4/7/2015,725000,1,R1-1,34.04829,-118.4693
Bldg-Alter/Repair,VAN NUYS,5/10/2017,0,1,RS-1,34.20925,-118.61625
Bldg-New,METRO,7/1/2014,259478,1,R3-1,33.99777,-118.41315
Bldg-New,WEST LA,4/30/2014,470000,1,R1-1-O,34.04631,-118.41925
Bldg-New,VAN NUYS,5/12/2017,800000,1,RE11-1-RFA-RIO,34.14313,-118.38469
Bldg-Alter/Repair,METRO,5/16/2017,9000,1,R1-1,34.10889,-118.20669
Bldg-New,VAN NUYS,8/9/2018,430000,1,R1V2,34.01455,-118.43574
Bldg-New,VAN NUYS,3/31/2016,593000,1,RA-1,34.16353,-118.50999
Bldg-New,METRO,12/5/2014,211060,1,RD1.5-1,34.16641,-118.39445
Bldg-New,VAN NUYS,8/15/2018,455000,1,R1V2,33.96403,-118.40906
Bldg-New,VAN NUYS,4/10/2014,1182850,1,RE15-1,34.0535,-118.53399
Bldg-New,METRO,8/21/2015,110000,1,R1-1,33.95779,-118.3037
Bldg-New,METRO,10/27/2016,301,1,RD1.5-1-O,34.04572,-118.34012
Bldg-New,WEST LA,2/4/2014,850000,1,R1-1,34.05158,-118.51844
Bldg-New,VAN NUYS,2/10/2016,500000,1,R1-1,34.041,-118.37118
Bldg-New,VAN NUYS,11/20/2014,620000,1,R1-1-RFA,34.14757,-118.41257
Bldg-New,VAN NUYS,2/10/2016,193000,1,(T)(Q)RD1.5-1,34.19773,-118.4453
Bldg-New,VAN NUYS,5/15/2013,1458609,1,RE11-1-H,34.14751,-118.35488
Bldg-New,METRO,6/6/2014,180000,1,RD1.5-1XL,34.10441,-118.29776
Bldg-New,VAN NUYS,2/13/2014,550000,1,R1-1-O,34.07725,-118.37328
Bldg-New,VAN NUYS,1/20/2015,983610,1,RE20-1,34.12313,-118.40165
Bldg-New,VAN NUYS,2/17/2017,440000,1,[T]RE-1,34.29267,-118.57822
Bldg-New,VAN NUYS,6/22/2015,838000,1,RE15-1-H,34.09592,-118.38339
Bldg-New,VAN NUYS,9/9/2014,750000,1,R1-1,34.15173,-118.47094
Bldg-New,METRO,3/25/2015,153710,1,[Q]CM-1VL,34.08933,-118.25963
Bldg-New,WEST LA,10/25/2016,227847,1,[Q]R3-1,34.15739,-118.38489
Bldg-New,METRO,5/4/2017,165000,1,(T)RD2-1,34.24159,-118.44484
Bldg-New,VAN NUYS,4/5/2017,570000,1,R2-1-O,34.0786,-118.37542
Bldg-New,VAN NUYS,6/21/2017,650000,1,RE15-1-H,34.14943,-118.49465
Bldg-Alter/Repair,METRO,6/15/2017,15000,1,R1-1,34.12163,-118.21195
Bldg-New,VAN NUYS,10/6/2020,710000,1,[T]RE-1,34.28583,-118.57862
Bldg-New,SOUTH LA,4/9/2018,223000,1,RD2-1,34.03589,-118.35041
Bldg-New,METRO,12/5/2013,435426,1,R4(PV),33.97345,-118.41935
Bldg-Alter/Repair,METRO,11/5/2013,100000,1,[Q]M1-1VL,34.02566,-118.35289
Bldg-New,METRO,5/8/2014,175000,1,(T)(Q)R1-1,34.27646,-118.39317
Bldg-New,WEST LA,9/13/2017,1200000,1,RE15-1,34.09704,-118.40281
Bldg-New,VAN NUYS,4/7/2015,450000,1,R1-1-RFA-RIO,34.14445,-118.37993
Bldg-New,METRO,5/17/2017,320000,1,RD1.5-1,34.11666,-118.17151
Bldg-New,VAN NUYS,7/27/2016,440000,1,[T]RE-1,34.29283,-118.57916
Bldg-New,METRO,1/19/2017,850000,1,RE15-1-H,34.14163,-118.44798
Bldg-New,VAN NUYS,6/20/2017,570000,1,R2-1XL,34.08452,-118.34503
Bldg-New,VAN NUYS,2/10/2016,500000,1,R1-1,34.04138,-118.37189
Bldg-New,METRO,8/31/2017,280000,1,RD2-1-O,34.03421,-118.28576
Bldg-New,VAN NUYS,10/20/2020,376401,1,PVSP,33.77044,-118.30872
Bldg-New,WEST LA,3/26/2015,122000,1,R1-1-RIO,34.19486,-118.54354
Bldg-New,METRO,3/31/2016,307343,1,R1-1-O,34.05154,-118.42907
Bldg-New,VAN NUYS,2/5/2013,182000,1,(T)(Q)RD1.5-1-K,34.31176,-118.42611
Bldg-New,VAN NUYS,4/7/2016,650000,1,R1-1,34.14683,-118.43374
Bldg-Addition,VAN NUYS,7/30/2013,50000,1,RS-1,34.2474,-118.57846
Bldg-New,METRO,3/19/2019,350000,1,R2-1VL,34.08367,-118.27229
Bldg-New,VAN NUYS,10/2/2017,450000,1,R1-1-RFA-RIO,34.14784,-118.41257
Bldg-New,VAN NUYS,5/23/2017,249000,1,(T)R1-1-RIO,34.19331,-118.5416
Bldg-New,VAN NUYS,9/20/2013,200862,1,C2-1,34.08307,-118.3124
Bldg-New,WEST LA,6/13/2017,423330,1,R1-1,34.01548,-118.4384
Bldg-New,VAN NUYS,3/17/2017,276000,1,RA-1,34.23934,-118.475
Bldg-New,VAN NUYS,2/27/2013,766165,1,R1-1,34.04736,-118.54619
Bldg-New,VAN NUYS,3/6/2015,0,1,R1-1,34.0464,-118.54469
Bldg-New,VAN NUYS,4/30/2014,235630,1,RD5-1,34.2453,-118.40984
Bldg-New,VAN NUYS,1/23/2014,250000,1,RD6-1,34.21552,-118.53751
Bldg-New,METRO,6/16/2014,189000,1,R1-1,34.13646,-118.22027
Bldg-New,METRO,11/1/2018,0,1,RE20-1-H-HCR,34.09093,-118.44688
Bldg-New,METRO,8/5/2016,410000,1,R2-1,34.0371,-118.46406
Bldg-New,VAN NUYS,5/15/2014,2900000,1,RE40-1,34.08337,-118.42821
Bldg-Addition,METRO,10/27/2014,148308,1,RD2-1,33.99943,-118.25177
Bldg-New,METRO,1/10/2018,0,1,R2-1VL,34.09308,-118.27643
Bldg-New,WEST LA,12/29/2014,340000,1,R1-1,34.02682,-118.42263
Bldg-New,VAN NUYS,12/18/2014,822000,1,R1-1,34.05035,-118.52616
Bldg-New,METRO,4/12/2017,220000,1,R3-1VL,34.0778,-118.26987
Bldg-New,VAN NUYS,12/14/2018,2000000,1,RE11-1,34.04176,-118.5118
Bldg-New,VAN NUYS,1/23/2018,979000,1,RE9-1,34.15405,-118.49148
Bldg-New,WEST LA,2/18/2014,990000,1,RE15-1-H,34.12538,-118.46527
Bldg-Alter/Repair,WEST LA,4/19/2017,7500,1,R1-1,34.02319,-118.41217
Bldg-New,WEST LA,11/14/2013,340000,1,R1-1VLD,34.00673,-118.4476
Bldg-Alter/Repair,VAN NUYS,6/2/2017,17000,1,R1-1-RFA,34.25909,-118.29005
Bldg-New,VAN NUYS,3/24/2016,300000,1,R2-1VL,34.08377,-118.25867
Bldg-New,VAN NUYS,3/9/2015,785000,1,R1-1,34.08001,-118.32585
Bldg-New,VAN NUYS,12/1/2015,900000,1,RA-1,34.16485,-118.51402
Bldg-New,VAN NUYS,2/17/2017,260000,1,RD1.5-1XL,34.08059,-118.37016
Bldg-New,VAN NUYS,11/4/2015,430000,1,[T]RE-1,34.29125,-118.57929
Bldg-New,VAN NUYS,12/5/2016,334000,1,A1-1,34.23556,-118.60629
Bldg-New,METRO,5/1/2019,550000,1,RW1-1-O,33.98331,-118.46525
Bldg-Addition,SOUTH LA,7/17/2015,40000,1,R1-1,33.95273,-118.23879
Bldg-Addition,VAN NUYS,4/14/2017,25000,1,RE11-1,34.25815,-118.58555
Bldg-New,WEST LA,12/14/2017,377520,1,R1-1,33.99589,-118.4085
Bldg-New,METRO,10/19/2016,130000,1,R2-1,33.97605,-118.27066
Bldg-New,VAN NUYS,6/25/2018,315000,1,(T)(Q)R3-1,34.21987,-118.58192
Bldg-New,VAN NUYS,4/29/2013,154476,1,[T]C4-2D,34.28079,-118.5782
Bldg-New,VAN NUYS,12/14/2015,388000,1,R1-1,34.03723,-118.41902
Bldg-New,METRO,4/13/2016,700000,1,R1-1,34.04152,-118.55829
Bldg-New,VAN NUYS,7/1/2016,660000,1,RA-1,34.16995,-118.50424
Bldg-New,VAN NUYS,8/13/2015,900000,1,RE20-1-H,34.06819,-118.49624
Bldg-Addition,METRO,3/30/2017,95000,1,R1-1,34.08608,-118.36469
Bldg-New,VAN NUYS,4/29/2014,335000,1,R1-1,34.03764,-118.46174
Bldg-New,METRO,2/9/2017,200000,1,RD1.5-1XL,34.08648,-118.2858
Bldg-New,METRO,12/3/2015,830000,1,R1-1,34.04627,-118.53738
Bldg-New,VAN NUYS,1/28/2015,181600,1,(T)(Q)RD2-1,34.20903,-118.46442
Bldg-New,VAN NUYS,6/12/2014,500000,1,RA-1,34.16778,-118.5546
Bldg-New,METRO,4/17/2014,331252,1,R4(PV),33.97409,-118.41814
Bldg-New,VAN NUYS,3/17/2015,112000,1,RA-1-K,34.2752,-118.36338
Bldg-Addition,METRO,4/1/2015,109000,1,R3-1,33.96197,-118.2841
Bldg-New,VAN NUYS,2/5/2013,182000,1,(T)(Q)RD1.5-1-K,34.31207,-118.42651
Bldg-New,VAN NUYS,10/13/2015,655000,1,RA-1,34.16119,-118.54036
Bldg-New,VAN NUYS,10/19/2015,101404,1,R1-1-RFA,34.26064,-118.30419
Bldg-New,VAN NUYS,12/22/2016,208750,1,(T)(Q)RD2-1,34.23827,-118.44819
Bldg-New,WEST LA,12/6/2013,995000,1,RA-1,34.21393,-118.54741
Bldg-New,VAN NUYS,1/28/2016,239690,1,(T)(Q)RD3-1-RIO,34.19365,-118.5109
Bldg-New,WEST LA,1/11/2016,500000,1,R1-1,34.0212,-118.43566
Bldg-New,VAN NUYS,4/3/2014,365000,1,[T]RE-1,34.28814,-118.58442
Bldg-New,WEST LA,3/16/2016,500000,1,R1-1VLD,33.99739,-118.45352
Bldg-New,METRO,3/17/2014,321162,1,R4(PV),33.97413,-118.4188
Bldg-New,VAN NUYS,5/25/2018,880000,1,RE15-1-H-HCR,34.1073,-118.46346
Bldg-New,VAN NUYS,8/27/2015,182000,1,(T)(Q)RD1.5-1,34.25922,-118.40237
Bldg-New,METRO,5/14/2015,264017,1,R2-1,33.83757,-118.2994
Bldg-New,METRO,10/30/2018,235000,1,R2-1VL,34.09829,-118.2551
Bldg-New,VAN NUYS,2/21/2018,196660,1,(T)(Q)RD2-1,34.20093,-118.45312
Bldg-Addition,METRO,10/24/2016,150000,1,RD2-1,34.03185,-118.38675
Bldg-Addition,SOUTH LA,11/17/2017,124000,1,R2-1,33.9757,-118.27718
Bldg-New,VAN NUYS,5/27/2016,629000,1,R1-1,34.03619,-118.4634
Bldg-New,METRO,3/19/2019,930000,1,RE15-1-H,34.117,-118.40519
Bldg-New,METRO,1/16/2015,264780,1,[Q]C2-1VL,33.9601,-118.40419
Bldg-New,METRO,3/19/2013,207500,1,[T][Q]RD1.5-1,33.75748,-118.29434
Bldg-New,VAN NUYS,3/16/2016,385000,1,R1-1-RFA-RIO,34.15337,-118.41222
Bldg-New,VAN NUYS,12/1/2017,295000,1,(T)(Q)R1-1,34.22683,-118.62385
Bldg-Alter/Repair,VAN NUYS,5/9/2014,12000,1,RD1.5-1VL,34.17296,-118.37763
Bldg-New,METRO,8/3/2016,350000,1,R1-1,34.11001,-118.21516
Bldg-New,METRO,10/27/2016,301,1,RD1.5-1-O,34.04579,-118.34011
Bldg-New,VAN NUYS,5/18/2016,164600,1,(T)(Q)RAS3-1,34.294,-118.45558
Bldg-Alter/Repair,VAN NUYS,4/11/2017,21000,1,R1-1-RIO,34.17438,-118.52536
Bldg-New,METRO,5/17/2017,20099,1,RD2-1-CDO-RIO,34.08605,-118.22087
Bldg-New,VAN NUYS,9/9/2013,280000,1,R1-1-RFA,34.26588,-118.31126
Bldg-New,WEST LA,2/13/2017,400000,1,R1-1-RFA-RIO,34.13807,-118.39426
Bldg-New,METRO,2/13/2019,545000,1,R1-1,33.97265,-118.45775
Bldg-New,VAN NUYS,11/30/2015,210000,1,(T)(Q)RD3-1,34.20861,-118.39762
Bldg-New,METRO,2/16/2016,200000,1,[Q]R3-1XL,34.08578,-118.3461
Bldg-New,METRO,8/24/2015,550000,1,R2-1,34.0713,-118.37284
Bldg-New,METRO,5/29/2015,600000,1,R1-1,34.07771,-118.36571
Bldg-New,VAN NUYS,7/20/2018,831230,1,RE9-1,34.15615,-118.49031
Bldg-New,WEST LA,5/19/2015,600000,1,R1-1-O,34.04887,-118.40108
Bldg-New,METRO,9/28/2016,450000,1,R1-1,34.03338,-118.40474
Bldg-New,METRO,6/6/2013,371350.8,1,RD1.5-1,33.99771,-118.47216
Bldg-New,VAN NUYS,6/24/2013,50000,1,R1-1,34.22756,-118.43122
Bldg-New,WEST LA,11/20/2013,1500000,1,RE15-1,34.06277,-118.48298
Bldg-Alter/Repair,METRO,1/17/2013,7500,1,[Q]C1-1,34.03626,-118.21478
Bldg-New,VAN NUYS,9/28/2015,232700,1,R1-1,34.18385,-118.41828
Bldg-Addition,VAN NUYS,2/23/2017,30000,1,R2-1VL-HPOZ,34.07053,-118.25472
Bldg-Alter/Repair,VAN NUYS,4/10/2014,10000,1,(Q)RD1.5-1,34.20087,-118.51339
Bldg-New,METRO,10/3/2014,762500,1,R4-2-O,34.05553,-118.41509
Bldg-Alter/Repair,METRO,7/1/2015,45000,1,[Q]R3-1,34.00533,-118.28904
Bldg-New,METRO,4/16/2019,400000,1,R1-1,34.10553,-118.2105
Bldg-New,WEST LA,10/25/2016,191193,1,[Q]R3-1,34.15741,-118.38496
Bldg-New,WEST LA,7/10/2015,620000,1,R1-1,34.03657,-118.40744
Bldg-New,WEST LA,7/30/2018,478134,1,R2-1-O,34.07033,-118.3661
Bldg-New,VAN NUYS,5/22/2014,212400,1,R2-1,33.94384,-118.27906
Bldg-Addition,VAN NUYS,1/13/2015,60000,1,R1-1,34.27631,-118.42531
Bldg-New,WEST LA,6/8/2015,324633,1,R1-1,34.12311,-118.19062
Bldg-New,VAN NUYS,12/21/2015,486000,1,R1-1-RFA-RIO,34.15114,-118.41483
Bldg-New,VAN NUYS,3/18/2016,265000,1,(T)(Q)RD4-1XL,34.22581,-118.57084
Bldg-New,VAN NUYS,6/29/2017,410000,1,[T]RE-1,34.29241,-118.57822
Bldg-Addition,SOUTH LA,7/2/2014,138471,1,RD2-1,34.08398,-118.19033
Bldg-New,VAN NUYS,5/24/2016,700000,1,R2-1XL,34.08559,-118.35623
Bldg-New,VAN NUYS,5/26/2017,600000,1,R1-1,34.15974,-118.52707
Bldg-New,METRO,1/17/2014,125000,1,R2-1,34.04979,-118.19367
Bldg-New,VAN NUYS,12/6/2013,166000,1,[Q]RD1.5-1,34.20185,-118.45345
Bldg-New,WEST LA,3/7/2018,350000,1,R1V2,34.00099,-118.45677
Bldg-New,METRO,3/26/2014,208450,1,RD2-1,34.1897,-118.36982
Bldg-New,VAN NUYS,7/23/2014,780000,1,R1-1,34.03911,-118.5568
Bldg-New,VAN NUYS,2/21/2018,570000,1,RE9-1,34.1629,-118.48703
Bldg-New,METRO,10/1/2021,200000,1,RD2-1,34.0301,-118.35228
Bldg-New,VAN NUYS,5/22/2017,520000,1,RA-1,34.17705,-118.55987
Bldg-New,VAN NUYS,10/30/2013,500000,1,R1-1-RFA,34.14833,-118.41765
Bldg-New,METRO,5/14/2014,350000,1,R1-1,34.10216,-118.22623
Bldg-New,METRO,7/15/2013,750000,1,RS-1,34.06589,-118.48435
Bldg-New,VAN NUYS,1/28/2019,283000,1,R1V2,34.01201,-118.42959
Bldg-New,METRO,4/21/2017,215000,1,RD1.5-1-CUGU,34.04696,-118.19952
Bldg-Addition,VAN NUYS,7/25/2013,63000,1,R1-1,34.17913,-118.54601
Bldg-New,VAN NUYS,7/5/2013,700000,1,R1-1-RFA,34.13968,-118.39753
Bldg-Addition,VAN NUYS,5/17/2016,100000,1,RD1.5-1VL,34.17535,-118.37618
Bldg-New,METRO,9/27/2021,756490,1,R1-1,34.07803,-118.34756
Bldg-Addition,VAN NUYS,1/8/2013,151000,1,R3-1,34.06286,-118.27685
Bldg-New,VAN NUYS,6/25/2018,315000,1,(T)(Q)R3-1,34.21987,-118.58192
Bldg-New,METRO,5/8/2014,175000,1,(T)(Q)R1-1,34.27646,-118.39317
Bldg-New,VAN NUYS,2/28/2017,599200,1,RD1.5-1,33.9981,-118.46921
Bldg-New,METRO,3/15/2017,7273000,1,RE40-1-H,34.09602,-118.43267
Bldg-Alter/Repair,VAN NUYS,6/7/2017,16000,1,R1-1-RIO,34.19876,-118.55447
Bldg-New,METRO,11/16/2015,705500,1,RE9-1,34.13054,-118.3199
Bldg-Alter/Repair,METRO,1/27/2014,10000,1,[Q]R3-1,33.96652,-118.28802
Bldg-New,SOUTH LA,4/3/2017,181666.66,1,RD2-1,34.02008,-118.29826
Bldg-New,VAN NUYS,7/28/2015,775000,1,R1-1,34.03485,-118.40284
Bldg-Addition,METRO,12/1/2015,147000,1,R2-1,33.82785,-118.30616
Bldg-New,VAN NUYS,1/14/2014,325000,1,RE15-1-H,34.13545,-118.45186
Bldg-New,METRO,12/5/2014,211060,1,RD1.5-1,34.16641,-118.39445
Bldg-New,METRO,11/3/2016,88476,1,R2-1VL-RIO,34.09769,-118.24478
Bldg-New,VAN NUYS,3/23/2017,2000000,1,RA-1,34.16087,-118.5384
Bldg-New,METRO,9/12/2014,220000,1,[T][Q]RD1.5-1,33.75748,-118.29434
Bldg-New,VAN NUYS,4/20/2017,467000,1,R1-1-O,34.0465,-118.41897
Bldg-New,VAN NUYS,2/4/2014,601000,1,RE15-1-H,34.10467,-118.4056
Bldg-New,VAN NUYS,10/10/2013,198390,1,[T]C4-2D,34.28122,-118.57789
Bldg-New,VAN NUYS,2/4/2015,597000,1,R1-1-O,34.08215,-118.35543
Bldg-New,VAN NUYS,4/29/2014,325000,1,R1-1,34.07861,-118.32616
Bldg-New,METRO,4/3/2018,48500,1,RE15-1-H,34.10461,-118.40615
Bldg-New,VAN NUYS,10/3/2013,550000,1,RE40-1-H,34.1252,-118.37856
Bldg-New,VAN NUYS,12/29/2016,250000,1,RD2-1,34.0315,-118.38763
Bldg-New,VAN NUYS,8/10/2017,450000,1,RA-1,34.15681,-118.52015
Bldg-New,VAN NUYS,2/11/2016,700000,1,R1-1-RFA-RIO,34.13993,-118.39726
Bldg-New,VAN NUYS,1/28/2014,200000,1,C2-1,34.08331,-118.31191
Bldg-New,VAN NUYS,10/30/2013,424000,1,R1-1-O,34.06903,-118.36951
Bldg-New,METRO,1/25/2016,470185,1,RE11-1,34.21955,-118.64846
Bldg-New,METRO,8/26/2013,330447,1,R2-1VL,34.0807,-118.2514
Bldg-New,VAN NUYS,1/24/2019,740000,1,RE20-1-H-HCR,34.11944,-118.4303
Bldg-New,SOUTH LA,11/24/2015,202000,1,R1-1,33.93136,-118.23641
Bldg-Alter/Repair,VAN NUYS,4/13/2017,10000,1,RE11-1,34.20757,-118.63721
Bldg-New,METRO,6/27/2016,307000,1,RD2-1VL,34.08008,-118.27067
Bldg-New,METRO,4/2/2014,138168,1,RD2-1VL,34.08963,-118.25157
Bldg-New,METRO,4/22/2016,218300,1,R3-1,34.09211,-118.32105
Bldg-Addition,METRO,4/5/2017,8000,1,R1-1,34.09636,-118.21695
Bldg-New,WEST LA,12/22/2015,615000,1,R1-1,34.0095,-118.44763
Bldg-New,SOUTH LA,2/2/2016,350000,1,R1-1,34.04632,-118.38391
Bldg-New,METRO,6/25/2015,529000,1,R1-1,34.11586,-118.22096
Bldg-New,VAN NUYS,11/15/2016,650000,1,RE9-1,34.16311,-118.50466
Bldg-New,VAN NUYS,4/29/2013,154476,1,[T]C4-2D,34.2808,-118.57807
Bldg-New,VAN NUYS,5/9/2014,85000,1,R2-1,33.9511,-118.2771
Bldg-Alter/Repair,VAN NUYS,5/9/2017,17000,1,R1-1,34.20506,-118.38143
Bldg-New,VAN NUYS,9/25/2015,608552,1,RE-1,34.29056,-118.58552
Bldg-New,METRO,1/27/2014,400000,1,RD1.5-1,34.03858,-118.45719
Bldg-New,VAN NUYS,2/24/2017,475000,1,R1-1-RFA-RIO,34.14064,-118.39548
Bldg-New,WEST LA,11/14/2014,2000000,1,RE15-1-H,34.09476,-118.38664
Bldg-New,VAN NUYS,5/5/2014,216000,1,C2-1,34.08283,-118.31179
Bldg-New,VAN NUYS,2/7/2013,483000,1,R1-1-RFA,34.14626,-118.38458
Bldg-New,METRO,2/24/2016,144477,1,[Q]CM-1VL,34.08858,-118.25974
Bldg-New,WEST LA,3/9/2018,534045,1,RE15-1-H,34.09408,-118.38619
Bldg-New,VAN NUYS,8/18/2014,181000,1,[Q]RD1.5-1,34.17337,-118.43975
Bldg-New,WEST LA,7/28/2017,650750,1,R1-1,34.0992,-118.3792
Bldg-New,VAN NUYS,6/6/2014,505000,1,R1-1,34.14575,-118.42471
Bldg-New,METRO,2/9/2017,210375,1,[Q]RD1.5-1XL-O,33.79397,-118.28976
Bldg-New,VAN NUYS,7/16/2014,465000,1,R1-1-O,34.07007,-118.38072
Bldg-New,WEST LA,10/8/2015,1200000,1,RE15-1-H,34.10407,-118.35757
Bldg-New,METRO,11/13/2015,210989,1,[Q]C4-1XL-RIO,34.11995,-118.25819
Bldg-New,SOUTH LA,1/8/2015,230000,1,R2-1,33.98335,-118.2968
Bldg-Addition,VAN NUYS,11/14/2013,130000,1,RD2-1,34.01711,-118.41462
Bldg-New,VAN NUYS,12/4/2017,722000,1,R2-1-O,34.07765,-118.37517
Bldg-New,METRO,1/30/2014,145530,1,R2-1,34.00828,-118.26831
Bldg-New,VAN NUYS,3/23/2016,239690,1,(T)(Q)RD3-1-RIO,34.19365,-118.5109
Bldg-New,VAN NUYS,8/31/2017,765000,1,RE15-1-H,34.1464,-118.48416
Bldg-New,METRO,6/9/2016,300000,1,R1-1-RIO,34.1324,-118.27003
Bldg-New,VAN NUYS,4/12/2018,480000,1,[T]RE-1,34.29229,-118.58233
Bldg-New,METRO,5/22/2014,352044,1,R4(PV),33.97422,-118.41739
Bldg-New,VAN NUYS,10/6/2017,225000,1,R1-1-RFA,34.26111,-118.29152
Bldg-New,METRO,7/29/2015,240000,1,R2-1,33.97377,-118.31294
Bldg-New,VAN NUYS,4/6/2017,185000,1,(T)(Q)R1-1,34.22695,-118.62435
Bldg-New,METRO,6/23/2017,146147,1,RD1.5-1XL-RIO,34.10949,-118.26524
Bldg-New,VAN NUYS,11/8/2017,800000,1,R1-1,34.0578,-118.47885
Bldg-New,METRO,7/25/2018,480900,1,RD1.5-1,33.99871,-118.46621
Bldg-Alter/Repair,SOUTH LA,6/21/2013,12000,1,R2-1,33.98709,-118.32837
Bldg-New,METRO,1/27/2017,211000,1,C2-1VL,33.98371,-118.30009
Bldg-New,METRO,5/8/2014,175000,1,(T)(Q)R1-1,34.27646,-118.39317
Bldg-New,SANPEDRO,4/19/2016,150000,1,R2-1XL,33.74773,-118.29841
Bldg-New,VAN NUYS,10/30/2013,500000,1,R1-1,34.13175,-118.33853
Bldg-Alter/Repair,VAN NUYS,6/14/2017,10000,1,RE9-1XL-RFA,34.2659,-118.51149
Bldg-New,VAN NUYS,1/7/2014,102767,1,C2-1VL,34.07115,-118.2512
Bldg-New,METRO,6/14/2017,248016,1,RD1.5-1XL,34.08466,-118.31284
Bldg-New,VAN NUYS,6/17/2014,400000,1,RA-1,34.17988,-118.55857
Bldg-New,VAN NUYS,7/30/2015,375000,1,R1-1,34.04136,-118.37098
Bldg-New,VAN NUYS,8/31/2018,790000,1,[T]RE-1,34.28414,-118.57636
Bldg-New,VAN NUYS,2/19/2016,349000,1,(T)(Q)RS-1-RFA,34.27162,-118.31547
Bldg-New,METRO,3/3/2014,133000,1,R3-1,34.05312,-118.33213
Bldg-New,VAN NUYS,10/4/2017,240000,1,R1-1,34.17991,-118.40323
Bldg-Alter/Repair,METRO,1/26/2016,20000,1,R1-1,34.08238,-118.16571
Bldg-New,VAN NUYS,5/10/2016,805000,1,R1-1-O,34.04505,-118.3973
Bldg-New,METRO,7/24/2013,1426249,1,R1-1,34.11935,-118.32566
Bldg-New,VAN NUYS,3/6/2018,900000,1,R1-1-RFA-RIO,34.14792,-118.40823
Bldg-New,VAN NUYS,9/29/2015,150000,1,RE11-1-H,34.23788,-118.27645
Bldg-New,VAN NUYS,11/24/2014,267360,1,R1-1VL,34.09187,-118.25384
Bldg-Addition,METRO,4/16/2014,142362,1,C2-1L,34.00934,-118.28191
Bldg-New,METRO,10/11/2013,158772,1,RD2-1,34.03205,-118.38113
Bldg-Addition,WEST LA,2/9/2017,0,1,C2-1VL,34.07477,-118.25327
Bldg-Addition,METRO,11/21/2018,28000,1,RD1.5-1,33.99324,-118.27192
Bldg-New,METRO,4/17/2014,331252,1,R4(PV),33.97452,-118.41812
Bldg-New,VAN NUYS,7/18/2013,350000,1,[T]RE-1,34.28527,-118.5865
Bldg-New,VAN NUYS,3/19/2014,170000,1,R3-1,34.10243,-118.31276
Bldg-New,METRO,2/3/2015,224375,1,R1-1-CDO,34.1329,-118.23652
Bldg-New,METRO,4/13/2015,344418,1,R1-1,33.99186,-118.43802
Bldg-New,VAN NUYS,5/8/2014,235630,1,RD5-1,34.24563,-118.40982
Bldg-New,VAN NUYS,6/9/2015,780000,1,RE15-1-H,34.11488,-118.40266
Bldg-New,VAN NUYS,5/7/2015,282100,1,RD1.5-1-O,34.04302,-118.35163
Bldg-New,VAN NUYS,11/18/2013,607047,1,R1-1,34.14514,-118.43555
Bldg-New,VAN NUYS,3/29/2013,750000,1,R1-1,34.1687,-118.43721
Bldg-New,VAN NUYS,3/17/2017,281000,1,RA-1,34.2408,-118.47509
Bldg-New,VAN NUYS,9/24/2014,133000,1,R1-1,34.21614,-118.35674
Bldg-New,SOUTH LA,4/8/2013,138000,1,R1-1,33.95782,-118.40899
